Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,385,40,58,11,14,210,10.0,-3.4,160,72,15,175.0,249,Muscle Gain,11,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,428,48,32,17,-3,220,4.0,-6.3,165,50,4,186.0,243,Muscle Gain,6,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,426,30,48,14,10,196,1.0,11.0,136,54,6,185.0,250,Muscle Gain,16,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,303,15,40,0,-2,210,5.0,12.1,132,57,13,190.0,254,General Fitness,4,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,325,23,14,15,-4,146,0.0,-1.5,108,46,8,129.0,181,Weight Loss,-4,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,444,52,61,2,11,259,12.0,-3.2,182,79,14,208.0,279,Muscle Gain,10,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,477,36,41,10,14,258,8.0,-1.2,152,63,3,202.0,279,Muscle Gain,17,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,328,26,14,-2,-2,154,12.0,6.5,102,44,8,122.0,181,Weight Loss,-4,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,465,37,43,6,11,254,-1.0,-7.2,151,79,12,203.0,260,Muscle Gain,19,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,300,21,48,13,4,217,7.0,11.1,137,61,9,176.0,244,General Fitness,-3,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,298,29,45,10,4,206,6.0,7.1,138,65,19,173.0,258,General Fitness,1,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,451,50,47,13,7,267,13.0,6.8,171,73,10,190.0,283,Muscle Gain,23,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,384,20,42,17,-4,187,-2.0,2.7,132,60,14,160.0,222,Muscle Gain,-2,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,303,16,35,2,9,210,8.0,12.1,145,46,9,188.0,260,General Fitness,-1,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,47,42,17,10,249,-4.0,-3.2,156,77,2,206.0,266,Muscle Gain,23,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,290,21,33,11,-1,204,7.0,1.1,142,51,4,171.0,243,General Fitness,0,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,414,26,49,11,12,196,-3.0,-7.0,136,45,9,184.0,244,Muscle Gain,9,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,377,25,53,18,6,211,9.0,-3.4,158,70,15,179.0,249,Muscle Gain,7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,290,16,31,4,16,180,5.0,-3.7,86,48,18,135.0,199,Weight Loss,13,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,464,47,49,17,-4,253,1.0,0.8,163,65,19,195.0,275,Muscle Gain,20,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,12,44,18,3,212,8.0,-0.8999999999999999,147,58,20,175.0,242,General Fitness,2,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,422,42,33,7,0,228,11.0,-3.3,150,59,5,190.0,233,Muscle Gain,19,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,427,35,51,16,6,210,9.0,2.0,138,56,5,176.0,250,Muscle Gain,19,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,393,27,49,22,6,181,3.0,10.7,126,53,8,169.0,219,Muscle Gain,-2,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,24,14,15,-3,153,0.0,1.5,106,37,11,111.0,172,Weight Loss,11,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,449,33,55,4,16,269,3.0,10.8,180,69,18,195.0,290,Muscle Gain,11,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,31,43,12,1,249,-5.0,-4.2,155,64,17,204.0,268,Muscle Gain,13,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,478,41,59,19,11,256,9.0,1.8,160,66,15,198.0,277,Muscle Gain,7,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,25,53,10,17,193,-1.0,10.0,120,52,20,177.0,234,Muscle Gain,17,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,271,28,27,19,16,175,7.0,10.3,80,50,7,146.0,200,Weight Loss,5,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,305,24,45,14,16,212,1.0,-4.9,130,53,8,179.0,243,General Fitness,7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,12,40,2,-2,168,-4.0,7.3,95,40,18,141.0,208,Weight Loss,16,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,475,46,56,18,9,245,9.0,-4.2,152,78,5,209.0,266,Muscle Gain,18,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,389,26,50,9,-2,215,-3.0,-7.4,140,61,22,166.0,230,Muscle Gain,2,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,289,8,29,10,8,175,12.0,11.3,84,44,17,143.0,202,Weight Loss,8,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,397,32,57,3,-1,189,-3.0,8.7,132,60,9,165.0,214,Muscle Gain,9,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,417,30,47,20,0,208,2.0,11.0,125,54,7,181.0,249,Muscle Gain,12,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,35,56,8,14,196,12.0,-1.0,140,63,19,188.0,244,Muscle Gain,11,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,477,47,55,13,8,246,-7.0,-3.2,160,62,15,202.0,276,Muscle Gain,13,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,423,34,55,5,2,193,4.0,11.0,133,46,3,185.0,237,Muscle Gain,7,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,310,19,31,8,-4,201,-4.0,-7.9,145,46,18,172.0,254,General Fitness,-4,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,377,22,53,17,14,212,-6.0,1.6,141,62,2,160.0,246,Muscle Gain,14,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,295,26,38,13,14,200,10.0,4.1,135,58,6,186.0,244,General Fitness,-5,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,417,47,21,6,-2,220,9.0,-2.3,164,49,9,187.0,246,Muscle Gain,10,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,40,36,8,5,230,4.0,1.7,150,52,3,170.0,237,Muscle Gain,8,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,380,36,51,10,11,228,4.0,-7.4,157,60,17,166.0,230,Muscle Gain,1,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,430,23,45,25,-1,196,9.0,7.0,122,62,11,186.0,235,Muscle Gain,8,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,415,20,51,16,5,197,2.0,-5.0,139,55,10,176.0,231,Muscle Gain,15,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,426,54,25,20,3,229,-1.0,-5.3,165,48,18,183.0,243,Muscle Gain,20,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,416,23,61,17,14,203,-5.0,9.0,127,65,16,170.0,241,Muscle Gain,7,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,395,25,43,16,9,196,-1.0,-3.3,129,67,14,165.0,224,Muscle Gain,6,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,28,16,8,14,143,-4.0,-2.5,108,48,9,125.0,182,Weight Loss,7,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,321,34,12,5,1,154,13.0,-8.5,101,55,19,118.0,174,Weight Loss,8,Non-Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,385,34,54,21,15,194,6.0,-6.3,132,57,17,160.0,229,Muscle Gain,13,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,478,42,45,17,9,246,8.0,5.8,156,60,14,199.0,277,Muscle Gain,16,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,447,52,45,4,5,258,0.0,0.8,185,71,10,206.0,276,Muscle Gain,22,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,414,43,26,21,2,232,5.0,6.7,170,51,1,184.0,237,Muscle Gain,5,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,22,10,15,7,143,10.0,10.5,99,42,2,121.0,186,Weight Loss,1,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,273,12,32,3,8,176,1.0,-5.7,82,30,2,131.0,200,Weight Loss,9,Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,429,48,38,19,5,223,4.0,4.7,157,49,0,173.0,238,Muscle Gain,3,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,41,56,5,4,250,0.0,9.8,156,65,10,196.0,269,Muscle Gain,18,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,429,47,34,11,9,234,-3.0,-6.3,150,61,5,186.0,242,Muscle Gain,15,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,18,43,5,7,201,13.0,4.1,132,65,12,180.0,248,General Fitness,3,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,477,45,47,7,6,240,3.0,-5.2,169,76,8,198.0,270,Muscle Gain,16,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,326,23,19,12,3,160,6.0,2.5,96,49,7,120.0,171,Weight Loss,-5,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,21,49,22,10,194,-2.0,9.0,139,55,20,170.0,246,Muscle Gain,2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,470,41,54,13,3,241,-6.0,11.8,156,80,3,209.0,274,Muscle Gain,25,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,460,51,52,18,6,262,14.0,-0.19999999999999996,186,65,19,191.0,288,Muscle Gain,9,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,383,26,47,10,1,180,9.0,-8.3,140,66,1,166.0,228,Muscle Gain,13,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,419,27,57,7,0,203,-6.0,4.0,136,58,13,189.0,236,Muscle Gain,8,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,34,64,24,5,192,8.0,11.0,124,60,14,177.0,242,Muscle Gain,2,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,417,24,56,20,4,210,-2.0,4.0,131,54,19,189.0,244,Muscle Gain,17,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,419,50,28,23,-1,240,9.0,-1.3,165,63,3,187.0,233,Muscle Gain,5,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,14,43,12,14,205,3.0,12.1,143,49,15,178.0,248,General Fitness,-3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,370,36,47,10,8,213,-7.0,11.6,144,66,13,180.0,247,Muscle Gain,11,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,420,20,64,9,-1,209,-3.0,-6.0,135,61,18,178.0,231,Muscle Gain,6,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,395,24,58,14,12,199,6.0,7.7,128,59,6,158.0,223,Muscle Gain,5,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,290,14,45,5,1,176,-7.0,5.3,83,43,-1,136.0,200,Weight Loss,1,Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,28,18,16,11,146,5.0,-6.5,98,35,15,118.0,178,Weight Loss,-5,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,275,26,32,5,7,167,9.0,1.3,85,30,1,139.0,194,Weight Loss,-1,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,22,30,2,3,203,-5.0,9.1,130,48,19,187.0,260,General Fitness,4,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,286,12,34,17,6,180,7.0,-2.7,90,35,6,141.0,208,Weight Loss,2,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,388,26,42,18,13,180,-6.0,-4.3,137,59,12,165.0,216,Muscle Gain,2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,478,47,47,9,16,249,12.0,-6.2,159,65,22,191.0,279,Muscle Gain,20,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,48,50,15,13,258,14.0,-6.2,188,68,11,195.0,281,Muscle Gain,7,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,18,58,9,14,181,13.0,5.7,130,50,9,166.0,229,Muscle Gain,13,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,472,36,41,18,7,244,-6.0,5.8,157,65,13,197.0,280,Muscle Gain,24,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,17,29,11,-2,180,0.0,-0.7,96,41,0,148.0,207,Weight Loss,-1,Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,270,25,27,19,7,172,3.0,8.3,90,47,10,148.0,191,Weight Loss,0,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,442,50,58,9,9,256,-1.0,3.8,180,73,6,203.0,276,Muscle Gain,19,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,386,28,51,9,7,187,-5.0,9.7,121,65,13,156.0,220,Muscle Gain,3,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,462,30,48,21,16,256,12.0,8.8,151,65,6,191.0,262,Muscle Gain,17,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,301,22,40,16,7,201,5.0,6.1,131,59,16,174.0,243,General Fitness,9,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,475,36,49,5,11,249,12.0,-4.2,152,64,5,194.0,274,Muscle Gain,24,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,20,34,15,7,164,-2.0,4.3,89,31,10,140.0,202,Weight Loss,11,Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,279,18,36,2,2,160,-2.0,-8.7,86,50,11,136.0,209,Weight Loss,-1,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,33,60,3,4,256,5.0,2.8,190,67,22,206.0,271,Muscle Gain,20,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,423,46,24,17,5,240,10.0,-4.3,160,61,8,170.0,230,Muscle Gain,14,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,444,40,54,22,4,255,9.0,8.8,184,60,5,204.0,290,Muscle Gain,18,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,27,44,20,9,166,12.0,0.30000000000000004,91,44,17,142.0,200,Weight Loss,5,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,49,60,12,2,250,12.0,2.8,190,69,6,197.0,283,Muscle Gain,19,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,272,8,38,6,5,180,-3.0,0.30000000000000004,80,41,-2,146.0,205,Weight Loss,-3,Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,30,18,-1,14,149,-1.0,-8.5,91,47,6,118.0,187,Weight Loss,8,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,428,52,30,11,6,236,11.0,-1.3,169,51,17,176.0,244,Muscle Gain,2,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,449,47,45,6,5,250,4.0,9.8,177,64,2,199.0,271,Muscle Gain,19,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,395,25,41,14,8,190,-1.0,-2.3,128,68,1,170.0,230,Muscle Gain,5,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,37,45,14,6,204,12.0,10.0,129,62,10,187.0,248,Muscle Gain,17,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,31,49,22,-1,205,7.0,1.0,128,47,19,177.0,232,Muscle Gain,12,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,292,10,36,16,9,219,3.0,-3.9,142,53,8,173.0,255,General Fitness,1,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,310,14,50,1,-1,218,9.0,-5.9,141,50,14,190.0,251,General Fitness,5,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,470,45,40,11,11,251,6.0,10.8,169,71,4,203.0,279,Muscle Gain,5,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,21,40,1,-3,202,15.0,1.1,132,49,5,183.0,257,General Fitness,1,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,298,23,49,3,15,200,12.0,-6.9,139,50,19,178.0,255,General Fitness,4,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,471,43,54,6,10,244,5.0,-2.2,161,73,13,209.0,260,Muscle Gain,13,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,28,44,12,16,180,9.0,9.3,83,40,4,140.0,206,Weight Loss,-1,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,382,31,52,14,15,181,8.0,11.7,136,60,6,165.0,216,Muscle Gain,7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,282,26,41,9,14,174,0.0,9.3,97,45,12,137.0,203,Weight Loss,1,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,31,44,8,12,254,1.0,-5.2,159,78,22,195.0,263,Muscle Gain,25,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,425,39,50,13,3,198,-5.0,-1.0,130,49,8,170.0,243,Muscle Gain,11,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,467,34,52,18,-4,249,4.0,-4.2,152,78,10,209.0,280,Muscle Gain,25,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,464,47,51,12,-3,246,8.0,-2.2,151,70,18,202.0,262,Muscle Gain,7,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,22,47,7,3,216,2.0,1.1,149,53,6,179.0,251,General Fitness,4,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,324,35,29,5,11,149,11.0,4.5,97,39,7,113.0,174,Weight Loss,2,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,451,46,61,20,15,255,1.0,-0.19999999999999996,189,72,4,208.0,279,Muscle Gain,25,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,330,34,17,10,-3,152,11.0,6.5,107,44,10,111.0,189,Weight Loss,1,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,37,53,9,12,270,14.0,-4.2,187,78,18,201.0,287,Muscle Gain,11,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,312,15,10,6,13,141,8.0,8.5,100,35,2,122.0,185,Weight Loss,-5,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,45,55,18,-1,243,8.0,-8.2,165,65,6,203.0,262,Muscle Gain,13,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,30,34,15,10,209,5.0,-6.9,134,61,7,180.0,260,General Fitness,11,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,398,20,41,7,10,200,1.0,1.7,139,67,11,164.0,227,Muscle Gain,13,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,43,43,16,12,248,11.0,-5.2,167,66,4,199.0,280,Muscle Gain,18,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,25,29,12,-3,176,3.0,-1.7,95,31,11,143.0,195,Weight Loss,-1,Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,425,39,50,25,7,196,14.0,10.0,126,57,15,176.0,239,Muscle Gain,5,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,323,33,13,15,-5,160,0.0,-0.5,92,51,15,119.0,174,Weight Loss,2,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,31,28,13,-6,143,11.0,-2.5,104,37,4,125.0,187,Weight Loss,9,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,41,20,9,3,233,10.0,1.7,168,63,8,183.0,242,Muscle Gain,5,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,413,52,32,9,15,229,-7.0,9.7,150,59,20,180.0,237,Muscle Gain,1,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,461,35,52,14,8,252,-4.0,5.8,162,66,9,210.0,261,Muscle Gain,7,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,446,45,65,19,9,261,-5.0,11.8,182,79,8,197.0,289,Muscle Gain,12,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,400,19,55,7,15,192,-4.0,0.7,128,56,6,153.0,225,Muscle Gain,3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,388,27,51,3,13,220,12.0,11.6,142,62,12,177.0,246,Muscle Gain,7,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,381,29,42,8,12,198,-2.0,-4.3,135,60,10,158.0,222,Muscle Gain,-2,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,397,18,40,2,14,190,0.0,7.7,122,51,16,156.0,228,Muscle Gain,4,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,373,22,52,9,-3,213,-2.0,-6.4,157,74,5,166.0,237,Muscle Gain,1,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,311,29,19,12,1,143,-4.0,-5.5,91,44,4,117.0,182,Weight Loss,15,Non-Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,387,36,59,7,5,219,-3.0,7.6,150,74,11,169.0,230,Muscle Gain,7,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,25,51,7,13,204,10.0,-3.0,138,58,12,176.0,242,Muscle Gain,17,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,426,26,59,18,5,195,-5.0,3.0,128,49,16,182.0,249,Muscle Gain,18,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,48,24,23,2,221,1.0,11.7,158,47,2,184.0,236,Muscle Gain,12,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,471,46,41,22,-1,242,-3.0,3.8,162,64,17,192.0,280,Muscle Gain,11,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,23,30,9,9,206,9.0,-3.9,148,49,19,186.0,256,General Fitness,4,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,429,37,64,14,8,197,6.0,7.0,133,49,12,180.0,232,Muscle Gain,4,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,22,26,8,1,152,-2.0,11.5,97,36,17,118.0,179,Weight Loss,-2,Non-Veg,General Fitness,No
